sequence,quest_id,project,chapter,kind,title,workspace,files,prompt,verification
860,ADA-P5-02-10,Project 5 — Forge Map Editor,Build the Editor Shell,Review,Build the Editor Shell — Review,~/Documents/src/projects/ada-mastery/forge_map_editor,src/ui/main_window.ads; src/ui/main_window.adb,Perform a senior-style checkpoint review of Build the Editor Shell in Forge Map Editor.,Panels resize sensibly and the central canvas receives remaining space.
861,ADA-P5-03-01,Project 5 — Forge Map Editor,"Menus, Actions, and Shortcuts",Question,"Menus, Actions, and Shortcuts — Question",~/Documents/src/projects/ada-mastery/forge_map_editor,src/ui/editor_actions.ads; src/ui/editor_actions.adb,"Answer one focused question before editing code: How should Gtk actions, menus, accelerators, and command routing be used to accomplish this milestone: Add New, Open, Save, Save As, Undo, Redo, Validate, Export, and Quit actions.","Menus, buttons, and shortcuts invoke one shared command path."
862,ADA-P5-03-02,Project 5 — Forge Map Editor,"Menus, Actions, and Shortcuts",Code Reading,"Menus, Actions, and Shortcuts — Code Reading",~/Documents/src/projects/ada-mastery/forge_map_editor,src/ui/editor_actions.ads; src/ui/editor_actions.adb,"Read the current implementation around src/ui/editor_actions.ads, src/ui/editor_actions.adb. Trace how data enters, changes, and leaves the code for this milestone: Add New, Open, Save, Save As, Undo, Redo, Validate, Export, and Quit actions.","Menus, buttons, and shortcuts invoke one shared command path."
863,ADA-P5-03-03,Project 5 — Forge Map Editor,"Menus, Actions, and Shortcuts",Predict,"Menus, Actions, and Shortcuts — Predict",~/Documents/src/projects/ada-mastery/forge_map_editor,src/ui/editor_actions.ads; src/ui/editor_actions.adb,Predict the exact behavior if the implementation encounters this problem: Duplicating behavior in every signal callback or allowing actions in invalid states.,"Menus, buttons, and shortcuts invoke one shared command path."
864,ADA-P5-03-04,Project 5 — Forge Map Editor,"Menus, Actions, and Shortcuts",Implement,"Menus, Actions, and Shortcuts — Implement",~/Documents/src/projects/ada-mastery/forge_map_editor,src/ui/editor_actions.ads; src/ui/editor_actions.adb,"Implement the core milestone in the existing forge_map_editor crate: Add New, Open, Save, Save As, Undo, Redo, Validate, Export, and Quit actions.","Menus, buttons, and shortcuts invoke one shared command path."
865,ADA-P5-03-05,Project 5 — Forge Map Editor,"Menus, Actions, and Shortcuts",Extend,"Menus, Actions, and Shortcuts — Extend",~/Documents/src/projects/ada-mastery/forge_map_editor,src/ui/editor_actions.ads; src/ui/editor_actions.adb,Extend the completed milestone with this practical variation: Connect toolbar buttons and keyboard shortcuts to the same command objects.,"Menus, buttons, and shortcuts invoke one shared command path."
866,ADA-P5-03-06,Project 5 — Forge Map Editor,"Menus, Actions, and Shortcuts",Test,"Menus, Actions, and Shortcuts — Test",~/Documents/src/projects/ada-mastery/forge_map_editor,src/ui/editor_actions.ads; src/ui/editor_actions.adb,"Create automated or repeatable tests that prove the milestone and its boundaries: Add New, Open, Save, Save As, Undo, Redo, Validate, Export, and Quit actions.","Menus, buttons, and shortcuts invoke one shared command path."
867,ADA-P5-03-07,Project 5 — Forge Map Editor,"Menus, Actions, and Shortcuts",Repair,"Menus, Actions, and Shortcuts — Repair",~/Documents/src/projects/ada-mastery/forge_map_editor,src/ui/editor_actions.ads; src/ui/editor_actions.adb,Reproduce and repair this defect class in the current project: Duplicating behavior in every signal callback or allowing actions in invalid states.,"Menus, buttons, and shortcuts invoke one shared command path."
868,ADA-P5-03-08,Project 5 — Forge Map Editor,"Menus, Actions, and Shortcuts",Refactor,"Menus, Actions, and Shortcuts — Refactor",~/Documents/src/projects/ada-mastery/forge_map_editor,src/ui/editor_actions.ads; src/ui/editor_actions.adb,"Refactor the chapter implementation so Gtk actions, menus, accelerators, and command routing is clearer without changing behavior.","Menus, buttons, and shortcuts invoke one shared command path."
869,ADA-P5-03-09,Project 5 — Forge Map Editor,"Menus, Actions, and Shortcuts",Integrate,"Menus, Actions, and Shortcuts — Integrate",~/Documents/src/projects/ada-mastery/forge_map_editor,src/ui/editor_actions.ads; src/ui/editor_actions.adb,"Integrate this chapter into the running final product so it works with earlier milestones: Add New, Open, Save, Save As, Undo, Redo, Validate, Export, and Quit actions.","Menus, buttons, and shortcuts invoke one shared command path."
870,ADA-P5-03-10,Project 5 — Forge Map Editor,"Menus, Actions, and Shortcuts",Review,"Menus, Actions, and Shortcuts — Review",~/Documents/src/projects/ada-mastery/forge_map_editor,src/ui/editor_actions.ads; src/ui/editor_actions.adb,"Perform a senior-style checkpoint review of Menus, Actions, and Shortcuts in Forge Map Editor.","Menus, buttons, and shortcuts invoke one shared command path."
871,ADA-P5-04-01,Project 5 — Forge Map Editor,Separate the Document Model,Question,Separate the Document Model — Question,~/Documents/src/projects/ada-mastery/forge_map_editor,src/model/editor_document.ads; src/model/editor_document.adb,"Answer one focused question before editing code: How should Model-view separation, observable state, and domain APIs be used to accomplish this milestone: Create an editor document independent of Gtk widgets, containing map, layers, objects, selection, and dirty state.",Document tests run without starting Gtk.
872,ADA-P5-04-02,Project 5 — Forge Map Editor,Separate the Document Model,Code Reading,Separate the Document Model — Code Reading,~/Documents/src/projects/ada-mastery/forge_map_editor,src/model/editor_document.ads; src/model/editor_document.adb,"Read the current implementation around src/model/editor_document.ads, src/model/editor_document.adb. Trace how data enters, changes, and leaves the code for this milestone: Create an editor document independent of Gtk widgets, containing map, layers, objects, selection, and dirty state.",Document tests run without starting Gtk.
873,ADA-P5-04-03,Project 5 — Forge Map Editor,Separate the Document Model,Predict,Separate the Document Model — Predict,~/Documents/src/projects/ada-mastery/forge_map_editor,src/model/editor_document.ads; src/model/editor_document.adb,Predict the exact behavior if the implementation encounters this problem: Treating widgets as the authoritative map data or calling Gtk from model packages.,Document tests run without starting Gtk.
874,ADA-P5-04-04,Project 5 — Forge Map Editor,Separate the Document Model,Implement,Separate the Document Model — Implement,~/Documents/src/projects/ada-mastery/forge_map_editor,src/model/editor_document.ads; src/model/editor_document.adb,"Implement the core milestone in the existing forge_map_editor crate: Create an editor document independent of Gtk widgets, containing map, layers, objects, selection, and dirty state.",Document tests run without starting Gtk.
875,ADA-P5-04-05,Project 5 — Forge Map Editor,Separate the Document Model,Extend,Separate the Document Model — Extend,~/Documents/src/projects/ada-mastery/forge_map_editor,src/model/editor_document.ads; src/model/editor_document.adb,Extend the completed milestone with this practical variation: Add change notifications or a controlled refresh mechanism.,Document tests run without starting Gtk.
876,ADA-P5-04-06,Project 5 — Forge Map Editor,Separate the Document Model,Test,Separate the Document Model — Test,~/Documents/src/projects/ada-mastery/forge_map_editor,src/model/editor_document.ads; src/model/editor_document.adb,"Create automated or repeatable tests that prove the milestone and its boundaries: Create an editor document independent of Gtk widgets, containing map, layers, objects, selection, and dirty state.",Document tests run without starting Gtk.
877,ADA-P5-04-07,Project 5 — Forge Map Editor,Separate the Document Model,Repair,Separate the Document Model — Repair,~/Documents/src/projects/ada-mastery/forge_map_editor,src/model/editor_document.ads; src/model/editor_document.adb,Reproduce and repair this defect class in the current project: Treating widgets as the authoritative map data or calling Gtk from model packages.,Document tests run without starting Gtk.
878,ADA-P5-04-08,Project 5 — Forge Map Editor,Separate the Document Model,Refactor,Separate the Document Model — Refactor,~/Documents/src/projects/ada-mastery/forge_map_editor,src/model/editor_document.ads; src/model/editor_document.adb,"Refactor the chapter implementation so Model-view separation, observable state, and domain APIs is clearer without changing behavior.",Document tests run without starting Gtk.
879,ADA-P5-04-09,Project 5 — Forge Map Editor,Separate the Document Model,Integrate,Separate the Document Model — Integrate,~/Documents/src/projects/ada-mastery/forge_map_editor,src/model/editor_document.ads; src/model/editor_document.adb,"Integrate this chapter into the running final product so it works with earlier milestones: Create an editor document independent of Gtk widgets, containing map, layers, objects, selection, and dirty state.",Document tests run without starting Gtk.
880,ADA-P5-04-10,Project 5 — Forge Map Editor,Separate the Document Model,Review,Separate the Document Model — Review,~/Documents/src/projects/ada-mastery/forge_map_editor,src/model/editor_document.ads; src/model/editor_document.adb,Perform a senior-style checkpoint review of Separate the Document Model in Forge Map Editor.,Document tests run without starting Gtk.
881,ADA-P5-05-01,Project 5 — Forge Map Editor,Draw the Map Canvas,Question,Draw the Map Canvas — Question,~/Documents/src/projects/ada-mastery/forge_map_editor,src/ui/map_canvas.ads; src/ui/map_canvas.adb,"Answer one focused question before editing code: How should Gtk.Drawing_Area, Cairo, expose/draw callbacks, and coordinate transforms be used to accomplish this milestone: Render tiles, grid, spawn, objects, selection, and viewport through a drawing area.","The canvas redraws correctly after resize, scroll, and document changes."
882,ADA-P5-05-02,Project 5 — Forge Map Editor,Draw the Map Canvas,Code Reading,Draw the Map Canvas — Code Reading,~/Documents/src/projects/ada-mastery/forge_map_editor,src/ui/map_canvas.ads; src/ui/map_canvas.adb,"Read the current implementation around src/ui/map_canvas.ads, src/ui/map_canvas.adb. Trace how data enters, changes, and leaves the code for this milestone: Render tiles, grid, spawn, objects, selection, and viewport through a drawing area.","The canvas redraws correctly after resize, scroll, and document changes."
883,ADA-P5-05-03,Project 5 — Forge Map Editor,Draw the Map Canvas,Predict,Draw the Map Canvas — Predict,~/Documents/src/projects/ada-mastery/forge_map_editor,src/ui/map_canvas.ads; src/ui/map_canvas.adb,Predict the exact behavior if the implementation encounters this problem: Doing file I/O inside draw callbacks or confusing world and device coordinates.,"The canvas redraws correctly after resize, scroll, and document changes."
884,ADA-P5-05-04,Project 5 — Forge Map Editor,Draw the Map Canvas,Implement,Draw the Map Canvas — Implement,~/Documents/src/projects/ada-mastery/forge_map_editor,src/ui/map_canvas.ads; src/ui/map_canvas.adb,"Implement the core milestone in the existing forge_map_editor crate: Render tiles, grid, spawn, objects, selection, and viewport through a drawing area.","The canvas redraws correctly after resize, scroll, and document changes."
885,ADA-P5-05-05,Project 5 — Forge Map Editor,Draw the Map Canvas,Extend,Draw the Map Canvas — Extend,~/Documents/src/projects/ada-mastery/forge_map_editor,src/ui/map_canvas.ads; src/ui/map_canvas.adb,Extend the completed milestone with this practical variation: Add dirty-region redraw where practical.,"The canvas redraws correctly after resize, scroll, and document changes."
886,ADA-P5-05-06,Project 5 — Forge Map Editor,Draw the Map Canvas,Test,Draw the Map Canvas — Test,~/Documents/src/projects/ada-mastery/forge_map_editor,src/ui/map_canvas.ads; src/ui/map_canvas.adb,"Create automated or repeatable tests that prove the milestone and its boundaries: Render tiles, grid, spawn, objects, selection, and viewport through a drawing area.","The canvas redraws correctly after resize, scroll, and document changes."
887,ADA-P5-05-07,Project 5 — Forge Map Editor,Draw the Map Canvas,Repair,Draw the Map Canvas — Repair,~/Documents/src/projects/ada-mastery/forge_map_editor,src/ui/map_canvas.ads; src/ui/map_canvas.adb,Reproduce and repair this defect class in the current project: Doing file I/O inside draw callbacks or confusing world and device coordinates.,"The canvas redraws correctly after resize, scroll, and document changes."
888,ADA-P5-05-08,Project 5 — Forge Map Editor,Draw the Map Canvas,Refactor,Draw the Map Canvas — Refactor,~/Documents/src/projects/ada-mastery/forge_map_editor,src/ui/map_canvas.ads; src/ui/map_canvas.adb,"Refactor the chapter implementation so Gtk.Drawing_Area, Cairo, expose/draw callbacks, and coordinate transforms is clearer without changing behavior.","The canvas redraws correctly after resize, scroll, and document changes."
889,ADA-P5-05-09,Project 5 — Forge Map Editor,Draw the Map Canvas,Integrate,Draw the Map Canvas — Integrate,~/Documents/src/projects/ada-mastery/forge_map_editor,src/ui/map_canvas.ads; src/ui/map_canvas.adb,"Integrate this chapter into the running final product so it works with earlier milestones: Render tiles, grid, spawn, objects, selection, and viewport through a drawing area.","The canvas redraws correctly after resize, scroll, and document changes."
890,ADA-P5-05-10,Project 5 — Forge Map Editor,Draw the Map Canvas,Review,Draw the Map Canvas — Review,~/Documents/src/projects/ada-mastery/forge_map_editor,src/ui/map_canvas.ads; src/ui/map_canvas.adb,Perform a senior-style checkpoint review of Draw the Map Canvas in Forge Map Editor.,"The canvas redraws correctly after resize, scroll, and document changes."
891,ADA-P5-06-01,Project 5 — Forge Map Editor,"Pan, Zoom, and Pointer Input",Question,"Pan, Zoom, and Pointer Input — Question",~/Documents/src/projects/ada-mastery/forge_map_editor,src/ui/map_canvas_input.ads; src/ui/viewport.ads,"Answer one focused question before editing code: How should Signals, event masks, gestures, and viewport math be used to accomplish this milestone: Support wheel zoom, middle-button or space-drag pan, cursor position, and coordinate conversion.",Pointer-to-tile conversion remains correct across pan and zoom levels.
892,ADA-P5-06-02,Project 5 — Forge Map Editor,"Pan, Zoom, and Pointer Input",Code Reading,"Pan, Zoom, and Pointer Input — Code Reading",~/Documents/src/projects/ada-mastery/forge_map_editor,src/ui/map_canvas_input.ads; src/ui/viewport.ads,"Read the current implementation around src/ui/map_canvas_input.ads, src/ui/viewport.ads. Trace how data enters, changes, and leaves the code for this milestone: Support wheel zoom, middle-button or space-drag pan, cursor position, and coordinate conversion.",Pointer-to-tile conversion remains correct across pan and zoom levels.
893,ADA-P5-06-03,Project 5 — Forge Map Editor,"Pan, Zoom, and Pointer Input",Predict,"Pan, Zoom, and Pointer Input — Predict",~/Documents/src/projects/ada-mastery/forge_map_editor,src/ui/map_canvas_input.ads; src/ui/viewport.ads,Predict the exact behavior if the implementation encounters this problem: Accumulating transform error or letting zoom produce unusable scales.,Pointer-to-tile conversion remains correct across pan and zoom levels.
894,ADA-P5-06-04,Project 5 — Forge Map Editor,"Pan, Zoom, and Pointer Input",Implement,"Pan, Zoom, and Pointer Input — Implement",~/Documents/src/projects/ada-mastery/forge_map_editor,src/ui/map_canvas_input.ads; src/ui/viewport.ads,"Implement the core milestone in the existing forge_map_editor crate: Support wheel zoom, middle-button or space-drag pan, cursor position, and coordinate conversion.",Pointer-to-tile conversion remains correct across pan and zoom levels.
895,ADA-P5-06-05,Project 5 — Forge Map Editor,"Pan, Zoom, and Pointer Input",Extend,"Pan, Zoom, and Pointer Input — Extend",~/Documents/src/projects/ada-mastery/forge_map_editor,src/ui/map_canvas_input.ads; src/ui/viewport.ads,Extend the completed milestone with this practical variation: Zoom around the pointer and add fit-map/reset-view actions.,Pointer-to-tile conversion remains correct across pan and zoom levels.
896,ADA-P5-06-06,Project 5 — Forge Map Editor,"Pan, Zoom, and Pointer Input",Test,"Pan, Zoom, and Pointer Input — Test",~/Documents/src/projects/ada-mastery/forge_map_editor,src/ui/map_canvas_input.ads; src/ui/viewport.ads,"Create automated or repeatable tests that prove the milestone and its boundaries: Support wheel zoom, middle-button or space-drag pan, cursor position, and coordinate conversion.",Pointer-to-tile conversion remains correct across pan and zoom levels.
897,ADA-P5-06-07,Project 5 — Forge Map Editor,"Pan, Zoom, and Pointer Input",Repair,"Pan, Zoom, and Pointer Input — Repair",~/Documents/src/projects/ada-mastery/forge_map_editor,src/ui/map_canvas_input.ads; src/ui/viewport.ads,Reproduce and repair this defect class in the current project: Accumulating transform error or letting zoom produce unusable scales.,Pointer-to-tile conversion remains correct across pan and zoom levels.
898,ADA-P5-06-08,Project 5 — Forge Map Editor,"Pan, Zoom, and Pointer Input",Refactor,"Pan, Zoom, and Pointer Input — Refactor",~/Documents/src/projects/ada-mastery/forge_map_editor,src/ui/map_canvas_input.ads; src/ui/viewport.ads,"Refactor the chapter implementation so Signals, event masks, gestures, and viewport math is clearer without changing behavior.",Pointer-to-tile conversion remains correct across pan and zoom levels.
899,ADA-P5-06-09,Project 5 — Forge Map Editor,"Pan, Zoom, and Pointer Input",Integrate,"Pan, Zoom, and Pointer Input — Integrate",~/Documents/src/projects/ada-mastery/forge_map_editor,src/ui/map_canvas_input.ads; src/ui/viewport.ads,"Integrate this chapter into the running final product so it works with earlier milestones: Support wheel zoom, middle-button or space-drag pan, cursor position, and coordinate conversion.",Pointer-to-tile conversion remains correct across pan and zoom levels.
900,ADA-P5-06-10,Project 5 — Forge Map Editor,"Pan, Zoom, and Pointer Input",Review,"Pan, Zoom, and Pointer Input — Review",~/Documents/src/projects/ada-mastery/forge_map_editor,src/ui/map_canvas_input.ads; src/ui/viewport.ads,"Perform a senior-style checkpoint review of Pan, Zoom, and Pointer Input in Forge Map Editor.",Pointer-to-tile conversion remains correct across pan and zoom levels.
901,ADA-P5-07-01,Project 5 — Forge Map Editor,Create the Tile Palette,Question,Create the Tile Palette — Question,~/Documents/src/projects/ada-mastery/forge_map_editor,src/ui/tile_palette.ads; src/ui/tile_palette.adb,"Answer one focused question before editing code: How should Lists, icon views, selection models, and reusable widgets be used to accomplish this milestone: Show available tile types with names, icons/colors, and the current brush.",Palette selection updates tool state and survives document refreshes.
902,ADA-P5-07-02,Project 5 — Forge Map Editor,Create the Tile Palette,Code Reading,Create the Tile Palette — Code Reading,~/Documents/src/projects/ada-mastery/forge_map_editor,src/ui/tile_palette.ads; src/ui/tile_palette.adb,"Read the current implementation around src/ui/tile_palette.ads, src/ui/tile_palette.adb. Trace how data enters, changes, and leaves the code for this milestone: Show available tile types with names, icons/colors, and the current brush.",Palette selection updates tool state and survives document refreshes.
903,ADA-P5-07-03,Project 5 — Forge Map Editor,Create the Tile Palette,Predict,Create the Tile Palette — Predict,~/Documents/src/projects/ada-mastery/forge_map_editor,src/ui/tile_palette.ads; src/ui/tile_palette.adb,Predict the exact behavior if the implementation encounters this problem: Storing the selected tile only inside the widget instead of editor tool state.,Palette selection updates tool state and survives document refreshes.
904,ADA-P5-07-04,Project 5 — Forge Map Editor,Create the Tile Palette,Implement,Create the Tile Palette — Implement,~/Documents/src/projects/ada-mastery/forge_map_editor,src/ui/tile_palette.ads; src/ui/tile_palette.adb,"Implement the core milestone in the existing forge_map_editor crate: Show available tile types with names, icons/colors, and the current brush.",Palette selection updates tool state and survives document refreshes.
905,ADA-P5-07-05,Project 5 — Forge Map Editor,Create the Tile Palette,Extend,Create the Tile Palette — Extend,~/Documents/src/projects/ada-mastery/forge_map_editor,src/ui/tile_palette.ads; src/ui/tile_palette.adb,Extend the completed milestone with this practical variation: Add search or categories and keyboard selection.,Palette selection updates tool state and survives document refreshes.
906,ADA-P5-07-06,Project 5 — Forge Map Editor,Create the Tile Palette,Test,Create the Tile Palette — Test,~/Documents/src/projects/ada-mastery/forge_map_editor,src/ui/tile_palette.ads; src/ui/tile_palette.adb,"Create automated or repeatable tests that prove the milestone and its boundaries: Show available tile types with names, icons/colors, and the current brush.",Palette selection updates tool state and survives document refreshes.
907,ADA-P5-07-07,Project 5 — Forge Map Editor,Create the Tile Palette,Repair,Create the Tile Palette — Repair,~/Documents/src/projects/ada-mastery/forge_map_editor,src/ui/tile_palette.ads; src/ui/tile_palette.adb,Reproduce and repair this defect class in the current project: Storing the selected tile only inside the widget instead of editor tool state.,Palette selection updates tool state and survives document refreshes.
908,ADA-P5-07-08,Project 5 — Forge Map Editor,Create the Tile Palette,Refactor,Create the Tile Palette — Refactor,~/Documents/src/projects/ada-mastery/forge_map_editor,src/ui/tile_palette.ads; src/ui/tile_palette.adb,"Refactor the chapter implementation so Lists, icon views, selection models, and reusable widgets is clearer without changing behavior.",Palette selection updates tool state and survives document refreshes.
909,ADA-P5-07-09,Project 5 — Forge Map Editor,Create the Tile Palette,Integrate,Create the Tile Palette — Integrate,~/Documents/src/projects/ada-mastery/forge_map_editor,src/ui/tile_palette.ads; src/ui/tile_palette.adb,"Integrate this chapter into the running final product so it works with earlier milestones: Show available tile types with names, icons/colors, and the current brush.",Palette selection updates tool state and survives document refreshes.
910,ADA-P5-07-10,Project 5 — Forge Map Editor,Create the Tile Palette,Review,Create the Tile Palette — Review,~/Documents/src/projects/ada-mastery/forge_map_editor,src/ui/tile_palette.ads; src/ui/tile_palette.adb,Perform a senior-style checkpoint review of Create the Tile Palette in Forge Map Editor.,Palette selection updates tool state and survives document refreshes.
911,ADA-P5-08-01,Project 5 — Forge Map Editor,Implement Map Painting Tools,Question,Implement Map Painting Tools — Question,~/Documents/src/projects/ada-mastery/forge_map_editor,src/tools/paint_tools.ads; src/tools/paint_tools.adb,"Answer one focused question before editing code: How should Mouse signals, tools, drag operations, and model updates be used to accomplish this milestone: Add pencil, rectangle fill, flood fill, erase, and eyedropper tools.",Every tool changes the model predictably and creates appropriate undo history.
912,ADA-P5-08-02,Project 5 — Forge Map Editor,Implement Map Painting Tools,Code Reading,Implement Map Painting Tools — Code Reading,~/Documents/src/projects/ada-mastery/forge_map_editor,src/tools/paint_tools.ads; src/tools/paint_tools.adb,"Read the current implementation around src/tools/paint_tools.ads, src/tools/paint_tools.adb. Trace how data enters, changes, and leaves the code for this milestone: Add pencil, rectangle fill, flood fill, erase, and eyedropper tools.",Every tool changes the model predictably and creates appropriate undo history.
913,ADA-P5-08-03,Project 5 — Forge Map Editor,Implement Map Painting Tools,Predict,Implement Map Painting Tools — Predict,~/Documents/src/projects/ada-mastery/forge_map_editor,src/tools/paint_tools.ads; src/tools/paint_tools.adb,Predict the exact behavior if the implementation encounters this problem: Creating hundreds of undo entries during one drag or modifying outside map bounds.,Every tool changes the model predictably and creates appropriate undo history.
914,ADA-P5-08-04,Project 5 — Forge Map Editor,Implement Map Painting Tools,Implement,Implement Map Painting Tools — Implement,~/Documents/src/projects/ada-mastery/forge_map_editor,src/tools/paint_tools.ads; src/tools/paint_tools.adb,"Implement the core milestone in the existing forge_map_editor crate: Add pencil, rectangle fill, flood fill, erase, and eyedropper tools.",Every tool changes the model predictably and creates appropriate undo history.
915,ADA-P5-08-05,Project 5 — Forge Map Editor,Implement Map Painting Tools,Extend,Implement Map Painting Tools — Extend,~/Documents/src/projects/ada-mastery/forge_map_editor,src/tools/paint_tools.ads; src/tools/paint_tools.adb,Extend the completed milestone with this practical variation: Preview changes during drag and commit one undoable command on release.,Every tool changes the model predictably and creates appropriate undo history.
916,ADA-P5-08-06,Project 5 — Forge Map Editor,Implement Map Painting Tools,Test,Implement Map Painting Tools — Test,~/Documents/src/projects/ada-mastery/forge_map_editor,src/tools/paint_tools.ads; src/tools/paint_tools.adb,"Create automated or repeatable tests that prove the milestone and its boundaries: Add pencil, rectangle fill, flood fill, erase, and eyedropper tools.",Every tool changes the model predictably and creates appropriate undo history.
917,ADA-P5-08-07,Project 5 — Forge Map Editor,Implement Map Painting Tools,Repair,Implement Map Painting Tools — Repair,~/Documents/src/projects/ada-mastery/forge_map_editor,src/tools/paint_tools.ads; src/tools/paint_tools.adb,Reproduce and repair this defect class in the current project: Creating hundreds of undo entries during one drag or modifying outside map bounds.,Every tool changes the model predictably and creates appropriate undo history.
918,ADA-P5-08-08,Project 5 — Forge Map Editor,Implement Map Painting Tools,Refactor,Implement Map Painting Tools — Refactor,~/Documents/src/projects/ada-mastery/forge_map_editor,src/tools/paint_tools.ads; src/tools/paint_tools.adb,"Refactor the chapter implementation so Mouse signals, tools, drag operations, and model updates is clearer without changing behavior.",Every tool changes the model predictably and creates appropriate undo history.
919,ADA-P5-08-09,Project 5 — Forge Map Editor,Implement Map Painting Tools,Integrate,Implement Map Painting Tools — Integrate,~/Documents/src/projects/ada-mastery/forge_map_editor,src/tools/paint_tools.ads; src/tools/paint_tools.adb,"Integrate this chapter into the running final product so it works with earlier milestones: Add pencil, rectangle fill, flood fill, erase, and eyedropper tools.",Every tool changes the model predictably and creates appropriate undo history.
920,ADA-P5-08-10,Project 5 — Forge Map Editor,Implement Map Painting Tools,Review,Implement Map Painting Tools — Review,~/Documents/src/projects/ada-mastery/forge_map_editor,src/tools/paint_tools.ads; src/tools/paint_tools.adb,Perform a senior-style checkpoint review of Implement Map Painting Tools in Forge Map Editor.,Every tool changes the model predictably and creates appropriate undo history.
921,ADA-P5-09-01,Project 5 — Forge Map Editor,Add Layers,Question,Add Layers — Question,~/Documents/src/projects/ada-mastery/forge_map_editor,src/model/layers.ads; src/ui/layers_panel.ads,"Answer one focused question before editing code: How should Tree/list models, visibility, locking, ordering, and composition be used to accomplish this milestone: Support tile, object, and trigger layers with add, delete, rename, reorder, visibility, and lock.",Layer operations update both panel and canvas while preserving stable IDs.
922,ADA-P5-09-02,Project 5 — Forge Map Editor,Add Layers,Code Reading,Add Layers — Code Reading,~/Documents/src/projects/ada-mastery/forge_map_editor,src/model/layers.ads; src/ui/layers_panel.ads,"Read the current implementation around src/model/layers.ads, src/ui/layers_panel.ads. Trace how data enters, changes, and leaves the code for this milestone: Support tile, object, and trigger layers with add, delete, rename, reorder, visibility, and lock.",Layer operations update both panel and canvas while preserving stable IDs.
923,ADA-P5-09-03,Project 5 — Forge Map Editor,Add Layers,Predict,Add Layers — Predict,~/Documents/src/projects/ada-mastery/forge_map_editor,src/model/layers.ads; src/ui/layers_panel.ads,Predict the exact behavior if the implementation encounters this problem: Editing hidden/locked layers or using list position as permanent identity.,Layer operations update both panel and canvas while preserving stable IDs.
924,ADA-P5-09-04,Project 5 — Forge Map Editor,Add Layers,Implement,Add Layers — Implement,~/Documents/src/projects/ada-mastery/forge_map_editor,src/model/layers.ads; src/ui/layers_panel.ads,"Implement the core milestone in the existing forge_map_editor crate: Support tile, object, and trigger layers with add, delete, rename, reorder, visibility, and lock.",Layer operations update both panel and canvas while preserving stable IDs.
925,ADA-P5-09-05,Project 5 — Forge Map Editor,Add Layers,Extend,Add Layers — Extend,~/Documents/src/projects/ada-mastery/forge_map_editor,src/model/layers.ads; src/ui/layers_panel.ads,Extend the completed milestone with this practical variation: Reflect layer order in canvas rendering and export.,Layer operations update both panel and canvas while preserving stable IDs.
926,ADA-P5-09-06,Project 5 — Forge Map Editor,Add Layers,Test,Add Layers — Test,~/Documents/src/projects/ada-mastery/forge_map_editor,src/model/layers.ads; src/ui/layers_panel.ads,"Create automated or repeatable tests that prove the milestone and its boundaries: Support tile, object, and trigger layers with add, delete, rename, reorder, visibility, and lock.",Layer operations update both panel and canvas while preserving stable IDs.
927,ADA-P5-09-07,Project 5 — Forge Map Editor,Add Layers,Repair,Add Layers — Repair,~/Documents/src/projects/ada-mastery/forge_map_editor,src/model/layers.ads; src/ui/layers_panel.ads,Reproduce and repair this defect class in the current project: Editing hidden/locked layers or using list position as permanent identity.,Layer operations update both panel and canvas while preserving stable IDs.
928,ADA-P5-09-08,Project 5 — Forge Map Editor,Add Layers,Refactor,Add Layers — Refactor,~/Documents/src/projects/ada-mastery/forge_map_editor,src/model/layers.ads; src/ui/layers_panel.ads,"Refactor the chapter implementation so Tree/list models, visibility, locking, ordering, and composition is clearer without changing behavior.",Layer operations update both panel and canvas while preserving stable IDs.
929,ADA-P5-09-09,Project 5 — Forge Map Editor,Add Layers,Integrate,Add Layers — Integrate,~/Documents/src/projects/ada-mastery/forge_map_editor,src/model/layers.ads; src/ui/layers_panel.ads,"Integrate this chapter into the running final product so it works with earlier milestones: Support tile, object, and trigger layers with add, delete, rename, reorder, visibility, and lock.",Layer operations update both panel and canvas while preserving stable IDs.
930,ADA-P5-09-10,Project 5 — Forge Map Editor,Add Layers,Review,Add Layers — Review,~/Documents/src/projects/ada-mastery/forge_map_editor,src/model/layers.ads; src/ui/layers_panel.ads,Perform a senior-style checkpoint review of Add Layers in Forge Map Editor.,Layer operations update both panel and canvas while preserving stable IDs.
931,ADA-P5-10-01,Project 5 — Forge Map Editor,Place Objects and Triggers,Question,Place Objects and Triggers — Question,~/Documents/src/projects/ada-mastery/forge_map_editor,src/model/map_objects.ads; src/tools/object_tool.adb,"Answer one focused question before editing code: How should Object models, shapes, hit testing, and custom data be used to accomplish this milestone: Place spawn points, pickups, enemies, exits, rectangles, points, and trigger regions on object layers.","Objects can be created, selected, saved, loaded, and rendered independently of tiles."
932,ADA-P5-10-02,Project 5 — Forge Map Editor,Place Objects and Triggers,Code Reading,Place Objects and Triggers — Code Reading,~/Documents/src/projects/ada-mastery/forge_map_editor,src/model/map_objects.ads; src/tools/object_tool.adb,"Read the current implementation around src/model/map_objects.ads, src/tools/object_tool.adb. Trace how data enters, changes, and leaves the code for this milestone: Place spawn points, pickups, enemies, exits, rectangles, points, and trigger regions on object layers.","Objects can be created, selected, saved, loaded, and rendered independently of tiles."
